NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFABuilding(s),ENERGYSTARScore,Latitude,Longitude,BuildingAge,RT_Avenue,RT_Other,RT_Street,RT_Way,PP_K-12 School,PP_Large Office,PP_Mixed Use Property,PP_Non-Refrigerated Warehouse,PP_Other,PP_Retail Store,PP_Small- and Mid-Sized Office,PP_Warehouse,SiteEnergyUse(kBtu),TotalGHGEmissions
1.0,1.0,35579.0,35579.0,60.0,47.56778076,-122.3361816,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1025659.0,35.0
1.0,1.0,58480.0,58480.0,37.0,47.73315,-122.3105,36.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11054535.0,272.54
1.0,2.0,60422.0,60422.0,8.0,47.69846975,-122.3671306,49.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10420096.0,391.32
1.0,4.0,39030.0,39030.0,99.0,47.59979,-122.33318,114.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,713326.875,13.69
1.0,6.0,46580.0,46580.0,76.5,47.61175233,-122.3404117,87.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,764820.0,5.33
1.0,1.0,42000.0,42000.0,93.0,47.60234022,-122.3159603,61.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2034884.0,79.98
1.0,6.0,130710.0,29910.0,92.0,47.62004,-122.33807,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7429423.0,86.51
1.0,2.0,99765.0,99765.0,67.5,47.61699,-122.32083,23.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3185005.25,74.3
1.0,3.0,22895.0,22895.0,98.0,47.54180145,-122.28297424,34.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,393493.0,11.81
1.0,5.0,61825.0,48505.0,51.0,47.61589336,-122.35109861,41.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4735249.0,155.38
1.0,2.0,31360.0,31360.0,30.0,47.56624222,-122.33361816,69.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1496712.0,37.19
1.0,3.0,96041.0,62332.0,69.0,47.6487041,-122.3505842,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5471735.0,38.15
1.0,3.0,56000.0,56000.0,76.75,47.67771413,-122.3962337,42.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1755264.0,53.61
1.0,1.0,21755.0,21755.0,39.5,47.57254,-122.32549,38.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,844076.8125,17.51
1.0,3.0,43387.0,43387.0,60.0,47.56175,-122.37835,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2686765.0,34.15
1.0,1.0,36982.0,36982.0,64.75,47.53379,-122.33063,37.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,374753.8125,6.88
1.0,2.0,26994.0,26994.0,62.75,47.72134,-122.34102,58.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3076813.25,122.73
